Tire_ID,age_category,check_point_zero
MK6853,0-399,420.0
0216HT32,0-399,420.0
AM662,0-399,420.0
MK1500A,0-399,420.0
MK6457,0-399,420.0
KH6602W,0-399,420.0
AM656,0-399,420.0
MK6489,0-399,420.0
KR11285,0-399,420.0
0814T51,0-399,420.0
MK6928,0-399,420.0
MK6492,0-399,420.0
AM635,0-399,420.0
MK6926,0-399,420.0
AM634,0-399,420.0
GT294W,0-399,420.0
0814T25,0-399,420.0
GT432,400-799,420.0
KR10523,0-399,420.0
0718KB11,400-799,420.0
AM155,0-399,420.0
MK1628A,0-399,420.0
KH5816AW,0-399,420.0
0718KB10,400-799,420.0
0814T28,0-399,420.0
MK1630A,0-399,420.0
KR8734,0-399,420.0
AM163,0-399,420.0
GT298W,400-799,420.0
DC4495,400-799,420.0
KR8835,0-399,420.0
KH5846AW,0-399,420.0
MK1523A,0-399,420.0
KH6245W,400-799,420.0
KR11157,0-399,420.0
0814T01,0-399,420.0
0718KB14,0-399,420.0
0916C314,0-399,420.0
KR9591,0-399,420.0
0714T16,0-399,420.0
GT440,400-799,420.0
0818KB02,0-399,420.0
KH6411SEN,0-399,420.0
JH1795W,0-399,420.0
0714T15,0-399,420.0
JH1823W,0-399,420.0
0714T10,0-399,420.0
KH5576A,0-399,420.0
MK1469A,0-399,420.0
CT243,0-399,420.0
0814T38,0-399,420.0
JH1799W,0-399,420.0
MK1649A,400-799,420.0
KR11288,400-799,450.0
0718KB18,0-399,450.0
KH6600W,400-799,450.0
KH5823AW,0-399,450.0
MK7054A,400-799,450.0
KR11210,400-799,450.0
0814T48,0-399,450.0
MK7051A,400-799,450.0
KH5704A,0-399,450.0
0319KB305,400-799,450.0
MK6486,0-399,450.0
KH5316A,0-399,450.0
0714T50,0-399,450.0
0814T37,0-399,450.0
ST01X,400-799,450.0
MK6481,0-399,450.0
KR10423,0-399,450.0
KR8955,400-799,450.0
MK6505,0-399,450.0
KH5317A,0-399,450.0
CT242,400-799,450.0
KR8911X,400-799,450.0
0714T09,0-399,450.0
MK6487,0-399,450.0
0814T22,0-399,450.0
ST02X,0-399,450.0
MK6917,400-799,450.0
0714T19,0-399,450.0
KR10436,0-399,450.0
0714T20,0-399,450.0
0714T23,0-399,450.0
0714T18,0-399,450.0
JH1824W,0-399,450.0
0714T14,0-399,450.0
0814T33,0-399,450.0
0714T13,0-399,450.0
GT300W,400-799,450.0
0714T11,0-399,450.0
0814T47,0-399,450.0
MK6860,400-799,450.0
MK6809,400-799,450.0
JH1801W,0-399,450.0
JH1798W,0-399,450.0
0216HT25,400-799,450.0
0714T12,0-399,450.0
0814T52,0-399,450.0
KR9804,400-799,450.0
MK1544A,400-799,450.0
MK1422A,400-799,450.0
MK6861,400-799,450.0
KR10530,0-399,450.0
KR8824,400-799,480.0
MK6931,400-799,480.0
KR10111,400-799,480.0
KH5323A,0-399,480.0
JM2263,400-799,480.0
KR10389,400-799,480.0
MK1740A,0-399,480.0
AM145,0-399,480.0
AM148,400-799,480.0
KR10433,400-799,480.0
DC4459,400-799,480.0
