Episode,Timestep,Reward
1372,20,-110
1373,20,-155
1374,20,-155
1375,20,-140
1376,20,-185
1377,20,-125
1378,20,-170
1379,20,-125
1380,20,-125
1381,20,-155
1382,20,-125
1383,20,-110
1384,20,-140
1385,20,-155
1386,20,-110
1387,20,-170
1388,20,-110
1389,20,-125
1390,20,-140
1391,20,-50
1392,20,-125
1393,9,70
1394,20,-170
1395,16,0
1396,20,-140
1397,20,-110
1398,20,-140
1399,20,-110
1400,20,-140
1401,20,-125
1402,15,25
1403,20,-125
1404,20,-140
1405,20,-140
1406,20,-95
1407,20,-125
1408,20,-125
1409,20,-110
1410,20,-110
1411,20,-170
1412,20,-140
1413,20,-170
1414,20,-125
1415,20,-125
1416,20,-155
1417,20,-140
1418,20,-95
1419,20,-140
1420,20,-125
1421,20,-125
1422,20,-185
1423,20,-125
1424,17,-10
1425,20,-155
1426,20,-40
1427,20,-140
1428,20,-155
1429,20,-140
1430,20,-140
1431,20,-125
1432,20,-125
1433,20,-110
1434,20,-155
1435,20,-155
1436,20,-155
1437,20,-140
1438,20,-125
1439,20,-80
1440,20,-110
1441,20,-155
1442,20,-110
1443,20,-140
1444,20,-140
1445,20,-155
1446,20,-95
1447,20,-95
1448,20,-125
1449,20,-155
1450,20,-170
1451,20,-155
1452,6,85
1453,20,-125
1454,20,-125
1455,20,-95
1456,20,-155
1457,20,-170
1458,20,-140
1459,20,-110
1460,20,-140
1461,20,-140
1462,20,-110
1463,20,-170
1464,20,-110
1465,20,-110
1466,20,-155
1467,20,-95
1468,11,65
1469,20,-125
1470,20,-155
1471,20,-140
1472,20,-140
1473,20,-140
1474,20,-110
1475,20,-110
1476,16,0
1477,20,-155
1478,20,-110
1479,20,-110
1480,20,-155
1481,20,-140
1482,20,-95
1483,20,-155
1484,20,-110
1485,20,-110
1486,20,-95
1487,20,-110
1488,20,-125
1489,20,-170
1490,20,-140
1491,20,-80
1492,20,-170
1493,20,-125
1494,20,-140
1495,20,-80
1496,20,-170
1497,20,-95
1498,20,-125
1499,20,-125
1500,20,-95
1501,20,-170
1502,20,-80
1503,20,-125
1504,20,-155
1505,20,-125
1506,20,-95
1507,20,-125
1508,20,-155
1509,20,-110
1510,20,-140
